t,crowd_count,near_center_fraction_5m,outward_fraction,mean_outward_speed_mps,net_radial_flow_mps,y,outward_fraction_lag1,outward_fraction_lag2,outward_fraction_lag3,mean_outward_speed_mps_lag1,mean_outward_speed_mps_lag2,mean_outward_speed_mps_lag3,crowd_count_lag1,crowd_count_lag2,crowd_count_lag3,net_radial_flow_mps_lag1,net_radial_flow_mps_lag2,net_radial_flow_mps_lag3,near_center_fraction_5m_lag1,near_center_fraction_5m_lag2,near_center_fraction_5m_lag3
5577.0,46.0,0.08695652173913043,0.30434782608695654,2.304273632915116,0.45537265178313985,0,0.34782608695652173,0.32653061224489793,0.23404255319148937,2.3078884126155437,2.2714753842433213,2.273680620662454,46.0,49.0,47.0,0.5417761300179474,0.5578986063521763,0.11256824452733552,0.06521739130434782,0.10204081632653061,0.19148936170212766
5580.0,49.0,0.14285714285714285,0.2653061224489796,2.3041707823731343,0.2788825400979633,0,0.30434782608695654,0.34782608695652173,0.32653061224489793,2.304273632915116,2.3078884126155437,2.2714753842433213,46.0,46.0,49.0,0.45537265178313985,0.5417761300179474,0.5578986063521763,0.08695652173913043,0.06521739130434782,0.10204081632653061
5582.0,43.0,0.18604651162790697,0.2558139534883721,2.294591261736411,0.24460343959267095,0,0.2653061224489796,0.30434782608695654,0.34782608695652173,2.3041707823731343,2.304273632915116,2.3078884126155437,49.0,46.0,46.0,0.2788825400979633,0.45537265178313985,0.5417761300179474,0.14285714285714285,0.08695652173913043,0.06521739130434782
5585.0,46.0,0.06521739130434782,0.1956521739130435,2.2932829131683325,0.10365489065564215,0,0.2558139534883721,0.2653061224489796,0.30434782608695654,2.294591261736411,2.3041707823731343,2.304273632915116,43.0,49.0,46.0,0.24460343959267095,0.2788825400979633,0.45537265178313985,0.18604651162790697,0.14285714285714285,0.08695652173913043
5587.0,45.0,0.2,0.17777777777777778,2.2804844483665514,-0.08012446569733236,0,0.1956521739130435,0.2558139534883721,0.2653061224489796,2.2932829131683325,2.294591261736411,2.3041707823731343,46.0,43.0,49.0,0.10365489065564215,0.24460343959267095,0.2788825400979633,0.06521739130434782,0.18604651162790697,0.14285714285714285
5590.0,47.0,0.1276595744680851,0.23404255319148937,2.3194371774264235,0.08200672226179288,0,0.17777777777777778,0.1956521739130435,0.2558139534883721,2.2804844483665514,2.2932829131683325,2.294591261736411,45.0,46.0,43.0,-0.08012446569733236,0.10365489065564215,0.24460343959267095,0.2,0.06521739130434782,0.18604651162790697
5592.0,49.0,0.10204081632653061,0.2653061224489796,2.3342403186605782,0.10500601117256676,0,0.23404255319148937,0.17777777777777778,0.1956521739130435,2.3194371774264235,2.2804844483665514,2.2932829131683325,47.0,45.0,46.0,0.08200672226179288,-0.08012446569733236,0.10365489065564215,0.1276595744680851,0.2,0.06521739130434782
5595.0,46.0,0.15217391304347827,0.2826086956521739,2.3357545729679967,0.10567485385366977,0,0.2653061224489796,0.23404255319148937,0.17777777777777778,2.3342403186605782,2.3194371774264235,2.2804844483665514,49.0,47.0,45.0,0.10500601117256676,0.08200672226179288,-0.08012446569733236,0.10204081632653061,0.1276595744680851,0.2
5597.0,48.0,0.10416666666666667,0.3125,2.337552217033538,0.30157585720385804,0,0.2826086956521739,0.2653061224489796,0.23404255319148937,2.3357545729679967,2.3342403186605782,2.3194371774264235,46.0,49.0,47.0,0.10567485385366977,0.10500601117256676,0.08200672226179288,0.15217391304347827,0.10204081632653061,0.1276595744680851
5600.0,47.0,0.0851063829787234,0.2765957446808511,2.3412102156430885,0.18525814594140183,0,0.3125,0.2826086956521739,0.2653061224489796,2.337552217033538,2.3357545729679967,2.3342403186605782,48.0,46.0,49.0,0.30157585720385804,0.10567485385366977,0.10500601117256676,0.10416666666666667,0.15217391304347827,0.10204081632653061
